l,a,b,x,y,z,label
16.7324,0.742381,1.81227,0.0490811,0.0719839,0.159904,cactus
28.6854,-17.2871,25.457,0.0434291,0.0469678,0.0600487,cactus
17.1253,-0.0532225,2.81195,0.0478744,0.0701764,0.146486,cactus
38.6971,-14.051,21.7008,0.0530412,0.0668319,0.0885318,cactus
20.9647,0.779221,3.31901,0.0321949,0.0556365,0.0856717,cactus
30.2981,-20.2026,33.5975,0.033446,0.0477052,0.0572786,cactus
75.3233,-8.2269,11.7242,0.01850679,0.0240929,0.0516247,cactus
18.5566,0.72786,1.64759,0.0331835,0.058949,0.0919821,cactus
27.1797,-16.1825,22.6167,0.03262,0.0521156,0.0761029,cactus
36.2211,-23.0627,38.2481,0.0362275,0.0456832,0.0560692,cactus
26.6422,-17.8622,27.1896,0.0475671,0.0661691,0.0674886,cactus
21.209,5.4017,-4.31019,0.0157576,0.0436207,0.0476294,cactus
17.5088,1.21595,4.25124,0.0428026,0.0794651,0.0816909,cactus
17.1015,1.96386,2.28287,0.0157223,0.0566124,0.071878,cactus
20.5825,-9.86015,19.0091,0.03761,0.0388677,0.0679789,cactus
42.5972,-21.2897,36.9087,0.0358698,0.0554723,0.0735721,cactus
39.7952,-2.89001,6.85193,0.0116738,0.0347126,0.0965601,cactus
60.3005,0.540016,8.02939,0.00570139,0.0426763,0.0794219,cactus
26.38513,-0.671824,6.93693,0.0416607,0.07217,0.0952032,cactus
39.3586,4.11552,5.21935,0.0182351,0.0408131,0.0477801,cactus
48.6628,-0.535075,6.33767,0.00844371,0.0334982,0.102132,cactus
89.359,-19.3827,74.7857,0.0213857,0.0515167,0.0593831,tennis ball
81.6975,-17.8777,62.3157,0.0193717,0.0524042,0.0539332,tennis ball
90.7824,-21.4537,86.7979,0.0137697,0.0306402,0.0505539,tennis ball
98.0095,-7.82908,24.4379,0.019786,0.0490042,0.0605694,tennis ball
87.5282,-18.8535,80.7549,0.0169272,0.0439328,0.055341,tennis ball
98.0095,-7.82908,24.4379,0.019786,0.0490042,0.0605694,tennis ball
84.1662,-16.748,72.5876,0.0411583,0.08545955,0.0952051,tennis ball
88.4794,-19.5754,82.7496,0.0187939,0.0398369,0.0572084,tennis ball
97.3466,-16.0929,57.8506,0.0189033,0.0342315,0.0537337,tennis ball
92.5839,-20.5139,85.0394,0.0172666,0.0461898,0.05206852,tennis ball
98.0354,-13.8566,46.9959,0.01674127,0.0323757,0.0420521,tennis ball
90.9309,-18.293,72.2346,0.0297083,0.0550417,0.0633905,tennis ball
90.6136,-18.2616,74.8773,0.0304706,0.0503727,0.0669706,tennis ball
97.3064,-15.8366,55.5693,0.0187058,0.0418543,0.0493377,tennis ball
83.9572,-19.8389,80.0785,0.0240492,0.0485781,0.05545,tennis ball
90.2082,-16.126,61.0539,0.032253,0.0471668,0.0584173,tennis ball
92.7722,-20.4764,84.3621,0.017459,0.0430871,0.0499164,tennis ball
91.0696,-18.5926,76.81,0.0284967,0.0544129,0.0629054,tennis ball
88.4946,-17.3064,63.7154,0.0217459,0.0535721,0.0602976,tennis ball
83.1164,-16.6945,56.979,0.0173448,0.0521991,0.0571815,tennis ball
82.3774,-19.4484,68.6369,0.0209814,0.051993,0.0534494,tennis ball
79.5511,-17.6174,63.8232,0.0205393,0.0496529,0.0575844,tennis ball
82.4376,-18.1016,64.4576,0.0261763,0.0529644,0.066,tennis ball
88.1223,-22.937,78.511,0.0319068,0.079641,0.0898921,large baseball
89.8264,-22.6581,77.8575,0.0305331,0.0800402,0.0865409,large baseball
99.1469,-2.81584,7.70182,0.0156552,0.0279943,0.0757914,large baseball
90.9079,-19.4641,63.0554,0.0257616,0.0753995,0.0821888,large baseball
87.4956,-7.87273,18.2846,0.0227216,0.0515971,0.0926155,large baseball
88.9443,-27.9439,86.2459,0.0151492,0.0356057,0.0671258,large baseball
90.2069,-23.6157,85.3538,0.00863552,0.0325192,0.0480312,large baseball
94.6677,-21.3777,71.77,0.0148652,0.048292,0.0623775,large baseball
97.5537,-3.36971,9.96976,0.0302997,0.04628,0.0938873,large baseball
88.5172,-20.305,75.4334,0.0239578,0.0640849,0.0830196,large baseball
80.9498,-22.8499,75.9666,0.0227038,0.0652471,0.0769546,large baseball
93.3016,-14.3661,46.262,0.0208374,0.0414571,0.0765327,large baseball
91.4102,-6.23873,14.953,0.0214857,0.0501224,0.100252,large baseball
85.0018,-26.1356,80.855,0.0280052,0.0709655,0.0712219,large baseball
83.8253,-23.8302,77.2375,0.020888,0.0569272,0.0767961,large baseball
97.9032,-11.5775,35.4108,0.0101045,0.0396196,0.0515543,large baseball
98.9596,-2.88207,7.84308,0.0138904,0.0272644,0.0743942,large baseball
84.3549,-25.8123,81.7247,0.0295185,0.0520995,0.078232,large baseball
91.7134,-21.8741,79.3467,0.0260175,0.0610534,0.0846431,large baseball
88.275,-25.1699,83.7013,0.0337871,0.0763349,0.0839391,large baseball
95.623,-19.6673,68.5722,0.0148717,0.0491376,0.0621859,large baseball
68.1961,-12.7377,44.8525,0.0127439,0.0395749,0.0647591,large baseball
96.6796,-17.2225,59.6354,0.016552,0.0508605,0.0635164,large baseball
88.0267,-26.2756,84.3742,0.0295321,0.0773757,0.0782039,large baseball
86.3365,1.60933,10.1064,0.0156657,0.0439845,0.0553385,small baseball
76.6682,-0.887137,14.9782,0.00856474,0.0230903,0.127334,small baseball
74.7068,0.675018,12.9162,0.0106461,0.026362,0.0818506,small baseball
92.7557,0.8184103,4.76425,0.0322793,0.0592268,0.0680555,small baseball
91.1085,2.2594,3.0339,0.011667,0.0275567,0.0479346,small baseball
78.4521,1.09031,10.649,0.00585708,0.0280444,0.105354,small baseball
93.1153,0.464364,4.01358,0.0245346,0.0659488,0.0692867,small baseball
85.0068,0.940277,7.88141,0.02052,0.0481551,0.0581805,small baseball
34.1387,52.4039,23.8278,0.0117869,0.0306492,0.0370958,strawberry
47.4621,-11.9511,26.218,0.00447756,0.0223421,0.0647029,strawberry
34.5113,53.5484,23.6308,0.00994527,0.0329398,0.035208,strawberry
35.2274,42.8738,19.7996,0.00699124,0.023543,0.0866418,strawberry
57.3871,-17.9625,35.2917,0.0194584,0.0302124,0.0415914,strawberry
4.65758,3.13929,0.770151,0.00974961,0.028663,0.0905172,strawberry
34.9441,43.4343,20.8432,0.0266593,0.036994,0.0664494,strawberry
35.9562,57.8469,29.7138,0.0157825,0.0314668,0.0381317,strawberry
8.58955,3.46424,0.302951,0.014622,0.0318101,0.076913,strawberry
39.0842,58.8939,24.778,0.0149414,0.0259728,0.0413513,strawberry
30.8119,49.00848,24.3273,0.00838998,0.0303918,0.0945755,strawberry
15.269,4.24166,3.57545,0.0140826,0.0276565,0.0775415,strawberry
37.2238,46.1176,24.6771,0.0123008,0.0275284,0.0391489,strawberry
61.7806,15.2367,3.89494,0.0076946,0.0341124,0.054203,strawberry
36.345,57.8022,28.0388,0.0162886,0.0256941,0.0367259,strawberry
37.7872,57.5857,23.9123,0.0141765,0.0313138,0.0403321,strawberry
34.3648,47.1244,18.8058,0.0128795,0.0291465,0.101955,strawberry
37.0945,37.0495,19.843,0.00816533,0.0347457,0.0903885,strawberry
53.3605,-18.2601,36.6678,0.0103008,0.0300755,0.0348447,strawberry
40.3413,27.6264,32.3359,0.0131599,0.0322802,0.0376353,strawberry
5.31913,3.67118,2.06455,0.00857359,0.0589968,0.0911128,strawberry
48.4776,38.2911,10.7533,0.0189434,0.0390933,0.0593137,strawberry
32.9496,43.043,20.3436,0.0095399,0.0319847,0.0933017,strawberry
52.5001,-0.151763,10.2451,0.0068253,0.0420599,0.064613,evaporated milk
62.3038,17.1723,8.71938,0.0441924,0.0583573,0.0943124,evaporated milk
52.0768,-1.14867,12.2248,0.00905564,0.0477163,0.0565993,evaporated milk
50.8632,-0.532143,10.0767,0.00919193,0.0410824,0.0561657,evaporated milk
59.5283,13.991,1.60997,0.0471765,0.0584252,0.07882,evaporated milk
57.3367,0.257719,7.72823,0.00687608,0.0446072,0.0624742,evaporated milk
75.8573,3.23816,-4.98841,0.0342125,0.0397739,0.069542,evaporated milk
74.9405,5.10494,4.50917,0.0272237,0.0685602,0.0972318,evaporated milk
58.206,0.188622,7.08619,0.00756443,0.0545873,0.0551894,evaporated milk
52.0732,-0.211893,8.04674,0.00949356,0.0527688,0.0631441,evaporated milk
73.4812,3.48759,-3.60959,0.0417016,0.0716048,0.099593,evaporated milk
72.9658,5.14961,-2.36653,0.0197492,0.0637751,0.101839,evaporated milk
70.4327,1.28094,4.00308,0.0228672,0.0443133,0.125264,evaporated milk
52.4139,-0.692384,11.1425,0.00792295,0.0337352,0.0477502,evaporated milk
65.8464,11.0864,2.64044,0.0452126,0.0646325,0.0981938,evaporated milk
56.4319,-0.289063,9.09351,0.00853714,0.0416883,0.0639061,evaporated milk
56.9297,20.2979,13.5997,0.0175726,0.0606874,0.0939739,evaporated milk
52.9675,-0.0560181,9.75285,0.00948077,30378265,0.0654972,evaporated milk
62.7804,3.267464,15.4547,0.0376691,0.0450549,0.0602038,evaporated milk
55.146,0.292911,8.26932,0.00992379,0.0399601,0.0668719,evaporated milk
52.2919,-0.899527,13.0609,0.0138884,0.0336492,0.057161,evaporated milk
59.8852,14.463,7.48505,0.0319784,0.0330371,0.0738988,evaporated milk
66.5905,10.7266,2.1489,0.0246918,0.0824874,0.0958669,evaporated milk
56.5554,35.4307,1.62441,0.0143732,0.0288083,0.0526586,evaporated milk
82.9507,-1.49428,5.74887,0.0184601,0.0241726,0.059684,evaporated milk
68.6498,2.46845,6.60227,0.0232166,0.0492045,0.0767125,evaporated milk
53.8818,452.648,5.09712,0.0166229,0.0505704,0.0606859,evaporated milk
71.6399,4.0324,11.9414,0.0158966,0.0468559,0.0474663,evaporated milk
68.5233,6.70363,2.8521,0.0137383,0.0465406,0.087731,evaporated milk
61.3689,7.3979,8.55554,0.0135712,0.0478214,0.0967839,evaporated milk
73.2948,12.5166,1.69186,0.0177534,0.0476919,0.0974101,evaporated milk
